max_bo_tension,ass_curv,max_bo_curv,ass_tension
53.06345749,0.003226067,0.063658088,17.43717957
71.85014343,0.003730462,0.03816622,39.99634933
51.65800858,0.004100995,0.065482434,15.21671486
69.4756546,0.006057556,0.033658369,40.52130508
55.88928223,0.005142756,0.052088377,21.49375534
161.2424927,0.003157599,0.050431327,123.0808411
197.7113647,0.003173279,0.074221095,159.3997803
73.82283783,0.003737542,0.038956755,41.47329712
56.75353622,0.004964166,0.050562878,21.99918747
55.03643417,0.004952964,0.05702158,20.2164402
164.9294739,0.003160505,0.052568163,126.5587387
56.34915161,0.005198119,0.052819056,22.00864983
66.50318146,0.002885272,0.075454955,16.73369026
71.02021027,0.005911943,0.033966876,40.22215271
96.1277771,0.003181758,0.025780107,67.48046112
84.3979187,0.003640107,0.04002152,49.54128265
73.0997467,0.003675934,0.037593883,41.13189697
70.84028625,0.0059182,0.033722182,40.94262314
63.3547287,0.002892241,0.071839417,17.03337479
75.3079071,0.003719372,0.038336222,43.64976883
58.20929337,0.003534897,0.052917665,23.45469475
56.38254929,0.005260647,0.05027028,22.33118248
109.7090454,0.003563473,0.048945823,71.52133942
63.6932373,0.0034259,0.053763787,25.64839935
52.87953568,0.004730964,0.062290518,17.33712196
118.7199554,0.003266517,0.034024446,86.14100647
56.74256134,0.005262165,0.049881291,22.57454109
73.66056061,0.003694269,0.037195269,41.776371
57.20351791,0.003498581,0.051393713,23.27096748
102.5584641,0.003011419,0.02333432,73.83509064
105.9860764,0.006255396,0.02470123,76.24222565
51.3303566,0.004233182,0.066284783,15.29057407
70.04958344,0.006153014,0.034973437,40.91781998
69.84103394,0.005938254,0.034493804,39.36104965
179.7963867,0.002929031,0.047946192,144.2116547
88.70894623,0.003329128,0.02750407,60.37508011
56.87447739,0.005001402,0.050867287,21.75427055
110.2623215,0.005365566,0.020882751,79.58279419
51.06319427,0.004303003,0.071312274,14.59515572
63.84321213,0.003506455,0.052774956,26.32635307
117.9358673,0.003272542,0.033892433,85.40982819
52.26018906,0.004170079,0.064969008,15.64517307
62.49808884,0.003303493,0.055871851,23.95161629
98.89120483,0.003342306,0.029585577,68.3293457
70.1729126,0.005936825,0.034097516,40.3873291
70.73989868,0.003256339,0.05694692,26.55338478
88.4548111,0.003305573,0.063700627,32.62446976
55.89336395,0.00513949,0.051956539,21.44980049
54.34651947,0.00491595,0.055402398,19.60913658
103.1064072,0.003310499,0.030620773,72.71452332
68.44107819,0.006302187,0.035295305,39.22142029
76.33791351,0.003677254,0.036119074,44.87419891
53.07096481,0.002661695,0.082310816,12.23691559
54.04656219,0.005108634,0.058940302,19.06295776
88.78553009,0.005873271,0.025507435,60.20459747
55.17779922,0.004973497,0.054522129,20.3252697
103.4302979,0.00557277,0.022571273,73.99241638
72.04029083,0.003729378,0.037970274,40.26123428
98.04891968,0.005650336,0.023498308,68.1446991
68.78842163,0.006310891,0.035237082,39.50291443
90.63818359,0.005964668,0.025628134,62.37614441
54.37575912,0.003353005,0.059912824,19.18317032
92.10577393,0.00557335,0.024990883,62.17774963
235.8223724,0.002650154,0.050348695,204.6648254
142.2418671,0.003186603,0.041249882,105.2766113
56.18716049,0.00500039,0.052026014,21.17252922
57.43286133,0.003520111,0.05176669,23.48653412
55.99016953,0.004888854,0.051266502,21.40466499
70.47420502,0.006167421,0.034223756,41.35264587
67.50544739,0.006388789,0.035890337,37.74356842
120.9077988,0.003080316,0.027707798,90.31925201
95.07653809,0.005697695,0.023665852,66.01825714
98.76215363,0.003342165,0.029546214,68.22682953
110.3133545,0.003248642,0.029462711,79.89123535
69.61614227,0.005773959,0.033918946,38.85399628
101.2577744,0.00305054,0.024706628,72.72795105
55.91033173,0.005112977,0.052077518,21.62134361
53.97812271,0.004860324,0.057302612,18.62800598
86.3243866,0.003351675,0.028162969,58.01269531
58.0190506,0.003553823,0.049983269,24.30655479
52.50263596,0.004707503,0.062855578,17.07907867
51.66771317,0.004130745,0.065844178,15.22503567
105.8439789,0.002949845,0.023033878,76.52424622
91.41542053,0.006443364,0.027152756,63.74775696
107.0227432,0.00305427,0.02459835,78.2674942
111.8384857,0.003144475,0.027264014,81.57102966
100.1390381,0.003534544,0.046588294,64.39128113
76.39530182,0.003672509,0.036530176,45.27133179
165.1778564,0.003158154,0.052581795,126.8000565
56.78203964,0.003516563,0.051918093,22.92723656
78.26387787,0.003660429,0.035331294,46.88430786
52.25905991,0.004169969,0.064972561,15.64512444
173.0472565,0.00276778,0.028943337,142.2244568
93.52477264,0.003418567,0.030537183,62.79224396
88.7389679,0.005881152,0.025542767,60.16134262
98.72040558,0.003518551,0.043737394,60.32503891
127.8244019,0.003214422,0.033027758,95.31088257
50.99022293,0.004191467,0.070306737,14.62226105
175.6465912,0.002901159,0.040082275,140.5081635
100.7555466,0.003056138,0.024663279,72.2142334
99.66790009,0.00330051,0.029811035,69.21141815
56.33056259,0.005022079,0.051649525,21.39433479
97.63200378,0.003552068,0.043785314,59.64451218
107.7808151,0.003147788,0.028342293,77.70397186
130.1044159,0.003090739,0.032745569,97.37302399
56.90328979,0.004984791,0.050250746,22.26221466
90.76229858,0.003203934,0.025771594,62.43896866
56.99778748,0.005063915,0.051252229,22.12403297
89.69187164,0.003610318,0.038523311,56.37591171
108.1970291,0.003531171,0.048906789,70.0036087
91.84908295,0.003163739,0.025475415,63.515522
52.90203857,0.004799555,0.062810989,17.32780457
